Age,Fare,Embarked,Cabin,Survived
38.21315278449375,42.346684976023454,S,B55,1
45.31659042739076,43.64656602788453,S,,0
38.032272051988734,46.21999445639378,S,,1
0.7012216064039869,37.934473479290375,C,,0
14.931634048355058,42.571528586773184,S,D213,0
,32.3027882985505,S,,0
39.3821783575749,35.75061362034369,Q,,1
,54.57248673578192,S,,0
26.388714961819744,38.63292248723475,S,,0
34.88360767748479,56.26118078604955,S,,1
16.49877779575063,64.12372441375439,S,E158,1
11.94294264334151,41.77314496389187,S,,0
0.4,17.973810821296237,S,,0
27.80785719651858,250.0,C,,0
,34.87879760417525,C,,0
32.81813426624132,38.63212817741234,S,,0
38.689906383232014,13.568895885370686,S,C157,0
41.46047569800678,38.98016441173245,S,,0
9.065802771702462,,Q,,0
6.973806657748234,33.62045223969312,S,,1
37.73582117244253,24.84671208806564,C,,0
7.1104693808746795,47.473639886670576,S,,0
18.074926835904698,52.20656165340393,C,,1
26.95415763565073,37.451842924824106,S,,1
15.749628803216265,23.30962908240984,S,E7,1
25.675911743079304,47.78124026301814,S,,1
33.35896478757219,53.17289192630498,S,,0
2.6535700243710103,29.51935990634335,C,A111,0
36.938382947679926,38.734421241663476,S,D69,0
14.386922326743646,71.71328440621986,,,0
22.904426097075373,19.659151488967623,S,F183,0
53.19996122179421,49.115979735542886,S,,1
,27.887275144585864,S,,0
18.3344309488726,23.776708138566114,S,,0
,53.329292389050586,S,,0
34.551390993122354,51.89238462868439,S,,1
,18.219064966985236,S,,0
22.564092551482737,56.54852270948989,S,,0
24.933556162702274,,S,C104,1
33.44547411411701,39.09102446508609,S,C62,1
25.264584365638783,79.17957312386768,S,,1
37.53006170697984,54.39616144499697,S,A102,1
16.936892342458407,34.91493092129475,C,F145,0
10.584204542034009,61.33599686193549,S,,0
45.1334274265666,28.968807008014927,S,,0
16.581496148753757,44.28747397318959,C,,1
,16.63386557495435,S,,0
19.36535042506833,61.062863311755926,S,,1
49.52039173219886,53.83518431022564,C,,1
29.01569879684248,32.32432285742696,S,,0
40.04812611991334,,,,1
41.73581534942275,44.355101886238906,S,,1
,30.25397602789289,S,A176,0
32.47302175368288,,Q,,1
39.101761590317906,,C,E34,0
,50.308781578920474,S,,1
46.388713056242125,41.77670077888235,S,,1
7.156249348416047,28.91408680932623,,,0
50.33989245994873,56.81480007789497,S,,1
18.578797567856117,40.965518135295746,S,,1
